accident_id,date,location,road_type,severity,weather_condition
1,14-03-25,Haridwar,Rural Road,Minor,Windy
2,01-12-24,Hazaribagh,Rural Road,Fatal,Windy
3,17-06-24,Yamunanagar,City Road,Fatal,Snow
4,26-11-23,Amravati,Highway,Serious,Windy
5,25-05-23,Nagercoil,Highway,Fatal,Rainy
6,29-05-24,Ozhukarai,Highway,Serious,Snow
7,19-12-23,Siwan,Rural Road,Minor,Snow
8,16-03-25,Ramgarh,City Road,Serious,Fog
9,05-02-24,Gurgaon,Highway,Serious,Snow
10,03-11-23,Begusarai,City Road,Fatal,Rainy
11,25-07-24,Parbhani,City Road,Fatal,Fog
12,19-04-24,South Dumdum,Rural Road,Serious,Snow
13,17-09-24,Mira-Bhayandar,Rural Road,Fatal,Windy
14,26-03-25,Vijayawada,City Road,Serious,Snow
15,08-12-24,Panihati,City Road,Minor,Rainy
16,01-11-24,Proddatur,City Road,Fatal,Windy
17,01-02-25,Srinagar,Highway,Serious,Snow
18,06-08-24,Bangalore,Rural Road,Minor,Clear
19,11-10-24,Nizamabad,Highway,Fatal,Fog
20,10-10-24,Pondicherry,Highway,Minor,Rainy
21,29-05-23,Kozhikode,Expressway,Fatal,Fog
22,17-02-25,Vijayawada,Highway,Minor,Snow
23,11-12-24,Shimla,Expressway,Serious,Fog
24,23-07-23,Kottayam,City Road,Serious,Rainy
25,02-04-25,Jaunpur,Highway,Serious,Windy
26,13-06-23,Hindupur,City Road,Minor,Fog
27,26-03-25,Guntur,City Road,Serious,Rainy
28,10-12-24,Aizawl,Highway,Minor,Clear
29,01-02-24,Siliguri,Expressway,Fatal,Snow
30,16-05-24,Arrah,Expressway,Minor,Windy
31,24-06-23,Ahmednagar,City Road,Serious,Fog
32,15-01-24,Bhalswa Jahangir Pur,Expressway,Minor,Snow
33,21-09-24,Meerut,Highway,Fatal,Rainy
34,17-09-23,Aizawl,Expressway,Fatal,Clear
35,24-11-24,Yamunanagar,Rural Road,Serious,Rainy
36,12-10-23,Purnia,Highway,Fatal,Windy
37,22-02-25,Jhansi,Rural Road,Minor,Fog
38,26-11-23,Firozabad,Highway,Serious,Fog
39,19-02-25,Nashik,City Road,Serious,Rainy
40,13-04-25,Srikakulam,City Road,Fatal,Rainy
41,17-09-23,Raiganj,City Road,Serious,Rainy
42,02-04-25,Solapur,City Road,Serious,Rainy
43,30-12-23,Sangli-Miraj & Kupwad,City Road,Minor,Fog
44,31-10-23,Muzaffarpur,City Road,Minor,Clear
45,26-01-24,Saharsa,Expressway,Serious,Rainy
46,03-02-24,Nashik,Expressway,Minor,Snow
47,24-09-23,Rewa,Rural Road,Serious,Windy
48,26-12-23,Katihar,Highway,Minor,Snow
49,22-04-24,Haldia,Expressway,Minor,Clear
50,29-11-23,Bhalswa Jahangir Pur,City Road,Fatal,Rainy
51,03-04-25,Pondicherry,Rural Road,Serious,Snow
52,21-06-24,Chandigarh,Expressway,Fatal,Clear
53,13-07-23,Tirunelveli,Rural Road,Fatal,Rainy
54,12-06-23,Rourkela,Highway,Minor,Snow
55,06-10-24,Tadepalligudem,City Road,Minor,Windy
56,18-07-24,Satna,Expressway,Serious,Snow
57,22-09-24,Gandhidham,City Road,Minor,Rainy
58,02-05-25,Madanapalle,Expressway,Fatal,Rainy
59,07-04-25,Panipat,Highway,Serious,Fog
60,13-07-24,Secunderabad,City Road,Fatal,Snow
61,16-06-24,Agra,Rural Road,Fatal,Windy
62,26-10-24,Saharanpur,City Road,Fatal,Rainy
63,30-07-24,Jaipur,Rural Road,Fatal,Rainy
64,28-05-23,Karnal,Expressway,Serious,Rainy
65,04-06-23,Kottayam,Rural Road,Fatal,Rainy
66,17-08-23,Jabalpur,Rural Road,Serious,Snow
67,01-04-24,Shivpuri,Expressway,Serious,Windy
68,08-01-24,Solapur,Expressway,Serious,Snow
69,19-01-24,Bhilai,City Road,Minor,Clear
70,10-06-24,Thrissur,City Road,Fatal,Snow
71,06-10-24,Chapra,Expressway,Serious,Rainy
72,12-12-23,Ozhukarai,Expressway,Serious,Snow
73,22-08-24,Jamalpur,Rural Road,Serious,Fog
74,07-12-24,Coimbatore,City Road,Serious,Snow
75,31-12-24,Rourkela,City Road,Minor,Fog
