vehicle_id,accident_id,vehicle_type,driver_age,is_speeding,is_drunk
1,1,Bike,56,Yes,No
2,1,Car,64,No,Yes
3,2,Bike,42,No,Yes
4,2,Bus,45,No,Yes
5,3,Truck,44,No,Yes
6,3,Bike,20,Yes,Yes
7,4,Auto,41,Yes,No
8,4,Bike,27,No,No
9,5,Truck,45,Yes,Yes
10,5,Bike,68,No,No
11,6,Bike,55,No,No
12,6,Truck,64,No,No
13,7,Auto,64,No,Yes
14,7,Auto,58,No,Yes
15,8,Car,46,Yes,No
16,8,Bike,47,No,Yes
17,9,Auto,49,Yes,No
18,9,Bus,66,Yes,No
19,10,SUV,41,No,Yes
20,10,SUV,24,Yes,No
21,11,Car,54,Yes,Yes
22,11,Bike,24,No,Yes
23,12,Auto,46,No,Yes
24,12,Truck,35,No,Yes
25,13,Car,61,Yes,No
26,13,Bus,40,No,No
27,14,Car,62,No,Yes
28,14,SUV,55,No,Yes
29,15,Bike,38,No,No
30,15,Car,47,Yes,No
31,16,Truck,55,Yes,No
32,16,Bus,46,No,No
33,17,Bike,29,No,Yes
34,17,Bus,62,No,Yes
35,18,Truck,52,Yes,No
36,18,Bus,49,Yes,No
37,19,Car,18,Yes,No
38,19,Auto,24,Yes,Yes
39,20,Truck,67,Yes,Yes
40,20,Car,53,No,Yes
41,21,Truck,57,Yes,No
42,21,Car,19,Yes,Yes
43,22,SUV,36,No,No
44,22,Auto,21,No,No
45,23,Car,20,Yes,Yes
46,23,Bus,53,No,Yes
47,24,Bike,67,Yes,No
48,24,Bus,21,No,No
49,25,Bike,59,No,No
50,25,Bus,27,Yes,Yes
51,26,Bus,39,No,No
52,26,Bus,33,No,Yes
53,27,Auto,47,Yes,No
54,27,Truck,42,Yes,Yes
55,28,SUV,61,No,No
56,28,Truck,50,No,No
57,29,Truck,43,No,Yes
58,29,Car,47,No,Yes
59,30,Car,59,Yes,Yes
60,30,Bus,39,Yes,No
61,31,Auto,24,Yes,Yes
62,31,Auto,58,Yes,No
63,32,SUV,45,Yes,Yes
64,32,Bus,63,Yes,Yes
65,33,Bus,65,Yes,No
66,33,SUV,68,No,No
67,34,Truck,44,Yes,Yes
68,34,SUV,65,Yes,No
69,35,Bus,68,No,No
70,35,Car,53,No,No
71,36,Bus,42,Yes,No
72,36,Car,64,No,Yes
73,37,Bike,68,Yes,Yes
74,37,SUV,38,Yes,No
75,38,Auto,63,No,Yes
76,38,Bus,38,No,No
77,39,Truck,35,No,Yes
78,39,Auto,20,No,No
79,40,Car,28,No,Yes
80,40,Car,49,No,No
81,41,Truck,63,No,Yes
82,41,SUV,60,Yes,No
83,42,Bike,68,No,Yes
84,42,Car,22,No,No
85,43,Bus,68,No,No
86,43,SUV,59,Yes,No
87,44,Bus,30,No,No
88,44,Bike,67,Yes,Yes
89,45,Bus,54,Yes,Yes
90,45,Car,39,No,No
91,46,Truck,42,No,Yes
92,46,Car,44,Yes,No
93,47,Bus,23,Yes,No
94,47,SUV,20,No,No
95,48,Auto,45,Yes,No
96,48,Car,60,Yes,No
97,49,SUV,67,Yes,Yes
98,49,Car,36,Yes,Yes
99,50,SUV,63,Yes,Yes
100,50,Bike,24,Yes,No
101,51,SUV,45,No,Yes
102,51,Truck,42,No,No
103,52,Bike,23,Yes,No
104,52,SUV,28,No,No
105,53,Car,34,Yes,No
106,53,SUV,40,Yes,Yes
107,54,Truck,32,Yes,Yes
108,54,Truck,64,Yes,Yes
109,55,Car,56,Yes,No
110,55,Bus,25,No,No
111,56,Car,25,No,No
112,56,Bike,53,Yes,Yes
113,57,Car,60,Yes,No
114,57,Bike,20,No,No
115,58,Bike,69,No,Yes
116,58,SUV,18,Yes,Yes
117,59,Auto,67,Yes,No
118,59,Truck,50,Yes,Yes
119,60,SUV,30,Yes,No
120,60,Truck,39,Yes,No
121,61,Auto,47,No,No
122,61,Bus,25,No,No
123,62,SUV,31,Yes,Yes
124,62,SUV,34,Yes,Yes
125,63,Truck,19,No,No
126,63,Truck,23,No,No
127,64,Bus,57,No,No
128,64,Truck,53,No,No
129,65,Bike,67,No,Yes
130,65,Car,70,No,Yes
131,66,Bus,24,No,Yes
132,66,Auto,61,Yes,No
133,67,Bus,36,Yes,Yes
134,67,Bus,67,No,Yes
135,68,Bike,36,Yes,Yes
136,68,Auto,28,Yes,Yes
137,69,Auto,48,Yes,No
138,69,Car,52,No,Yes
139,70,Car,41,No,Yes
140,70,SUV,36,Yes,No
141,71,Bus,27,No,No
142,71,Bus,26,No,Yes
143,72,Auto,59,No,No
144,72,Truck,70,No,No
145,73,Car,65,No,Yes
146,73,Bike,49,No,No
147,74,Bike,63,No,No
148,74,Auto,68,No,Yes
149,75,Truck,26,Yes,Yes
150,75,Auto,68,Yes,Yes
151,76,SUV,38,No,Yes
152,76,Bus,20,No,No
153,77,Truck,37,No,No
154,77,Bike,57,No,No
155,78,Car,56,Yes,Yes
156,78,Truck,25,No,Yes
157,79,Auto,66,Yes,Yes
158,79,SUV,20,No,No
159,80,Car,23,Yes,No
160,80,SUV,42,Yes,No
161,81,Auto,28,No,Yes
162,81,SUV,32,Yes,No
163,82,SUV,47,No,No
164,82,Bus,44,Yes,No
165,83,SUV,21,No,Yes
166,83,Bus,33,Yes,Yes
167,84,Car,34,No,No
168,84,Truck,36,Yes,No
169,85,Bike,35,Yes,Yes
170,85,Auto,27,Yes,Yes
171,86,Car,53,No,Yes
172,86,Truck,43,No,No
173,87,Truck,52,Yes,Yes
174,87,SUV,63,No,Yes
175,88,Truck,29,Yes,Yes
176,88,Bus,33,Yes,Yes
177,89,Truck,65,Yes,Yes
178,89,Bus,19,Yes,No
179,90,Car,65,Yes,Yes
180,90,Auto,31,No,No
181,91,Auto,33,Yes,No
182,91,Truck,45,No,Yes
183,92,SUV,53,No,No
184,92,Car,36,No,Yes
185,93,Bus,66,Yes,No
186,93,Bus,48,No,No
187,94,Car,57,No,Yes
188,94,Auto,23,No,No
189,95,SUV,37,No,Yes
190,95,SUV,62,No,No
191,96,Car,35,No,Yes
192,96,SUV,34,No,Yes
193,97,Truck,46,Yes,No
194,97,Bus,56,Yes,Yes
195,98,Car,27,No,No
196,98,Bike,22,Yes,No
197,99,Car,21,No,Yes
198,99,Truck,42,Yes,Yes
199,100,Bike,37,Yes,No
200,100,Truck,59,Yes,Yes
201,101,SUV,21,Yes,No
202,101,Bus,50,No,Yes
203,102,Truck,44,Yes,No
204,102,SUV,21,Yes,Yes
205,103,Bike,64,Yes,Yes
206,103,Bus,62,No,Yes
207,104,Auto,55,Yes,No
208,104,Truck,56,Yes,No
